feature,importance
latency_ms,0.19525927522687822
rtt_ms,0.1711190853307459
data_session_success_rate,0.16171467647482485
call_setup_success_rate,0.16069525285210648
packet_loss_percent,0.1083607900220307
disk_utilization_percent,0.05005270902990505
bandwidth_utilization_percent,0.04202643386456672
cpu_utilization_percent,0.033972169766160826
memory_utilization_percent,0.029477950247068736
jitter_ms,0.027185031288223617
throughput_mbps,0.01808731731245684
handover_success_rate,0.0020493085850319674
